model,strategy,n,wall_time_s,type_exact_match,type_in_target,classifier_agreement,parse_failure_rate,bleu,rouge_l_mean,latency_ms_p50,latency_ms_p95,latency_ms_mean,completion_tokens_mean,temperature,seed
deepseek-coder:1.3b,zero_shot,50,82.9,0.0,0.0,0.22,1.0,0.20452775490889868,0.06070858219724963,1537.8938335052226,2072.40792255252,1658.4961633209605,139.2,0.2,42
deepseek-coder:1.3b,few_shot,50,104.6,0.0,0.0,0.22,1.0,0.13754655243270728,0.032485308816343296,2319.3994794928585,2760.3732625029797,2090.9588601408177,158.94,0.2,42
deepseek-coder:1.3b,chain_of_thought,50,99.0,0.0,0.0,0.28,1.0,0.0692893063257778,0.05344505434854858,1984.427458497521,2221.275716846867,1979.9941449795733,191.36,0.2,42
deepseek-coder:1.3b,json_mode,50,28.8,0.18,0.86,0.3,0.14,0.7410409640065415,0.11909030768418562,580.4219790006755,766.278543741646,576.4625457991497,34.5,0.2,42
qwen2.5-coder:1.5b,zero_shot,50,19.1,0.2,1.0,0.34,0.0,1.9150012990333967,0.14200832088448187,352.5588955017156,464.8737457973766,381.4513566606911,13.02,0.2,42
qwen2.5-coder:1.5b,few_shot,50,21.4,0.18,1.0,0.14,0.0,0.14255456438949318,0.03164009846362788,410.85320850106655,523.5297016013645,426.9515515799867,14.04,0.2,42
qwen2.5-coder:1.5b,chain_of_thought,50,99.9,0.26,0.84,0.38,0.16,1.2414948408206776,0.1654313960892908,1989.9386459946982,2458.9175546498154,1996.8331484205555,158.74,0.2,42
qwen2.5-coder:1.5b,json_mode,50,42.2,0.2,1.0,0.42,0.0,0.6846311292918732,0.17964638457517715,825.0247085015872,1002.9796040536894,842.8728983204928,29.98,0.2,42
qwen2.5-coder:3b,zero_shot,50,44.4,0.2,1.0,0.48,0.0,1.7614280964802924,0.2030297945275735,701.3590000060503,930.1346314052353,888.8804174616234,15.16,0.2,42
qwen2.5-coder:3b,few_shot,50,34.0,0.26,1.0,0.3,0.0,3.8317969653069923,0.06423914973914974,613.435749495693,920.3184209014579,679.4724266807316,8.74,0.2,42
qwen2.5-coder:3b,chain_of_thought,50,178.9,0.3,0.92,0.42,0.08,1.7642292490195257,0.19367488875074013,3588.9647290023277,4326.15866005799,3576.48998074088,159.54,0.2,42
qwen2.5-coder:3b,json_mode,50,67.4,0.28,1.0,0.42,0.0,3.983756817965768,0.1962227899379602,1312.7067079985864,1699.0470560929678,1348.7032616598299,32.74,0.2,42
llama3.2:3b-instruct-q4_K_M,zero_shot,50,34.6,0.2,1.0,0.38,0.0,1.7030025247206955,0.16707558454617277,640.2574794992688,888.0987541946524,690.9808025410166,13.2,0.2,42
llama3.2:3b-instruct-q4_K_M,few_shot,50,109.0,0.0,0.12,0.18,0.88,0.18262894165301766,0.028430269077327902,2177.325020500575,2690.512585298711,2179.343481619435,81.84,0.2,42
llama3.2:3b-instruct-q4_K_M,chain_of_thought,50,194.7,0.32,0.74,0.4,0.26,0.634861400618117,0.1425444081202595,3968.9618539996445,4689.422901601938,3893.0105599595117,167.18,0.2,42
llama3.2:3b-instruct-q4_K_M,json_mode,50,61.3,0.24,1.0,0.26,0.0,4.350713023457214,0.16669225219225217,1212.27964550053,1518.1576089933515,1225.9497758798534,27.66,0.2,42
phi3.5:3.8b-mini-instruct-q4_K_M,zero_shot,50,53.2,0.3,1.0,0.46,0.0,4.14597217692359,0.17903328594350262,964.2242705012904,1513.3957169913626,1063.4698792404379,15.7,0.2,42
phi3.5:3.8b-mini-instruct-q4_K_M,few_shot,50,245.7,0.36,1.0,0.42,0.0,7.183353625465852,0.19238467087720015,5793.191749995458,7191.737170956185,4913.922313361836,141.2,0.2,42
phi3.5:3.8b-mini-instruct-q4_K_M,chain_of_thought,50,246.7,0.02,0.08,0.36,0.92,0.26356649603283266,0.08563328884212278,4904.066645496641,6202.152156098599,4934.078200839576,161.72,0.2,42
phi3.5:3.8b-mini-instruct-q4_K_M,json_mode,50,90.8,0.26,1.0,0.48,0.0,4.098523474950768,0.1988220381269917,1739.080395491328,2289.42681424669,1816.0821674391627,40.14,0.2,42
